zip,type,primary_city,state,county,country,irs_estimated_population
26038,STANDARD,Glen Dale,WV,Marshall County,US,2590
26039,STANDARD,Glen Easton,WV,Marshall County,US,780
26040,STANDARD,Mcmechen,WV,Marshall County,US,1490
26041,STANDARD,Moundsville,WV,Marshall County,US,12460
26047,STANDARD,New Cumberland,WV,Hancock County,US,4990
26050,STANDARD,Newell,WV,Hancock County,US,1110
26055,STANDARD,Proctor,WV,Marshall County,US,1450
26056,PO BOX,New Manchester,WV,Hancock County,US,520
26058,PO BOX,Short Creek,WV,Brooke County,US,84
26059,STANDARD,Triadelphia,WV,Ohio County,US,2890
26060,STANDARD,Valley Grove,WV,Ohio County,US,1480
26062,STANDARD,Weirton,WV,Hancock County,US,17860
26070,STANDARD,Wellsburg,WV,Brooke County,US,6980
26074,PO BOX,West Liberty,WV,Ohio County,US,200
26075,PO BOX,Windsor Heights,WV,Brooke County,US,367
26101,STANDARD,Parkersburg,WV,Wood County,US,22010
26102,PO BOX,Parkersburg,WV,Wood County,US,636
26103,PO BOX,Parkersburg,WV,Wood County,US,370
26104,STANDARD,Parkersburg,WV,Wood County,US,13520
26105,STANDARD,Vienna,WV,Wood County,US,10620
26106,UNIQUE,Parkersburg,WV,Wood County,US,0
26120,UNIQUE,Mineral Wells,WV,Wood County,US,0
26121,UNIQUE,Mineral Wells,WV,Wood County,US,0
26133,STANDARD,Belleville,WV,Wood County,US,1220
26134,STANDARD,Belmont,WV,Pleasants County,US,710
26136,STANDARD,Big Bend,WV,Calhoun County,US,400
26137,STANDARD,Big Springs,WV,Calhoun County,US,600
26138,STANDARD,Brohard,WV,Wirt County,US,141
26141,STANDARD,Creston,WV,Wirt County,US,330
26142,STANDARD,Davisville,WV,Wood County,US,2210
26143,STANDARD,Elizabeth,WV,Wirt County,US,3570
26146,STANDARD,Friendly,WV,Tyler County,US,940
26147,STANDARD,Grantsville,WV,Calhoun County,US,1410
26148,STANDARD,Macfarlan,WV,Ritchie County,US,164
26149,STANDARD,Middlebourne,WV,Tyler County,US,1940
26150,STANDARD,Mineral Wells,WV,Wood County,US,5340
26151,STANDARD,Mount Zion,WV,Calhoun County,US,350
26152,STANDARD,Munday,WV,Calhoun County,US,54
26155,STANDARD,New Martinsville,WV,Wetzel County,US,6860
26159,STANDARD,Paden City,WV,Wetzel County,US,2070
26160,STANDARD,Palestine,WV,Wirt County,US,760
26161,STANDARD,Petroleum,WV,Ritchie County,US,320
26162,STANDARD,Porters Falls,WV,Wetzel County,US,101
26164,STANDARD,Ravenswood,WV,Jackson County,US,6430
26167,STANDARD,Reader,WV,Wetzel County,US,700
26169,STANDARD,Rockport,WV,Wood County,US,680
26170,STANDARD,Saint Marys,WV,Pleasants County,US,4940
26175,STANDARD,Sistersville,WV,Tyler County,US,2610
26178,STANDARD,Smithville,WV,Ritchie County,US,410
26180,STANDARD,Walker,WV,Wood County,US,1860
26181,STANDARD,Washington,WV,Wood County,US,5630
26184,STANDARD,Waverly,WV,Wood County,US,1880
26187,STANDARD,Williamstown,WV,Wood County,US,5710
26201,STANDARD,Buckhannon,WV,Upshur County,US,15180
26202,STANDARD,Fenwick,WV,Nicholas County,US,450
26203,STANDARD,Erbacon,WV,Webster County,US,226
26205,STANDARD,Craigsville,WV,Nicholas County,US,2600
26206,STANDARD,Cowen,WV,Webster County,US,1960
26208,STANDARD,Camden On Gauley,WV,Webster County,US,560
26209,PO BOX,Snowshoe,WV,Pocahontas County,US,224
26210,STANDARD,Adrian,WV,Upshur County,US,187
26215,STANDARD,Cleveland,WV,Webster County,US,93
26217,STANDARD,Diana,WV,Webster County,US,220
26218,STANDARD,French Creek,WV,Upshur County,US,2180
26219,PO BOX,Frenchton,WV,Upshur County,US,0
26222,STANDARD,Hacker Valley,WV,Webster County,US,390
26224,STANDARD,Helvetia,WV,Randolph County,US,139
26228,STANDARD,Kanawha Head,WV,Upshur County,US,52
26229,PO BOX,Lorentz,WV,Upshur County,US,0
26230,STANDARD,Pickens,WV,Randolph County,US,94
26234,STANDARD,Rock Cave,WV,Upshur County,US,870
26236,STANDARD,Selbyville,WV,Randolph County,US,58
26237,STANDARD,Tallmansville,WV,Upshur County,US,460
26238,STANDARD,Volga,WV,Barbour County,US,670
26241,STANDARD,Elkins,WV,Randolph County,US,11380
26250,STANDARD,Belington,WV,Barbour County,US,4370
26253,STANDARD,Beverly,WV,Randolph County,US,2770
26254,STANDARD,Bowden,WV,Randolph County,US,300
26257,STANDARD,Coalton,WV,Randolph County,US,840
26259,PO BOX,Dailey,WV,Randolph County,US,324
26260,STANDARD,Davis,WV,Tucker County,US,1040
26261,STANDARD,Richwood,WV,Nicholas County,US,1450
26263,STANDARD,Dryfork,WV,Tucker County,US,360
26264,STANDARD,Durbin,WV,Pocahontas County,US,520
26266,STANDARD,Upperglade,WV,Webster County,US,220
26267,STANDARD,Ellamore,WV,Upshur County,US,460
26268,STANDARD,Glady,WV,Randolph County,US,29
26269,STANDARD,Hambleton,WV,Tucker County,US,770
26270,STANDARD,Harman,WV,Randolph County,US,580
26271,STANDARD,Hendricks,WV,Tucker County,US,250
26273,STANDARD,Huttonsville,WV,Randolph County,US,700
26275,PO BOX,Junior,WV,Barbour County,US,587
26276,STANDARD,Kerens,WV,Randolph County,US,380
26278,STANDARD,Mabie,WV,Randolph County,US,480
26280,STANDARD,Mill Creek,WV,Randolph County,US,1490
26282,STANDARD,Monterville,WV,Randolph County,US,89
26283,STANDARD,Montrose,WV,Randolph County,US,1330
26285,STANDARD,Norton,WV,Randolph County,US,260
26287,STANDARD,Parsons,WV,Tucker County,US,2630
26288,STANDARD,Webster Springs,WV,Webster County,US,2170
26289,STANDARD,Red Creek,WV,Tucker County,US,70
26291,STANDARD,Slatyfork,WV,Pocahontas County,US,260
26292,STANDARD,Thomas,WV,Tucker County,US,660
26293,STANDARD,Valley Bend,WV,Randolph County,US,590
26294,STANDARD,Valley Head,WV,Randolph County,US,500
26296,PO BOX,Whitmer,WV,Randolph County,US,132
26298,STANDARD,Bergoo,WV,Webster County,US,89
26301,STANDARD,Clarksburg,WV,Harrison County,US,22630
26302,PO BOX,Clarksburg,WV,Harrison County,US,1291
26306,UNIQUE,Clarksburg,WV,Harrison County,US,0
26320,STANDARD,Alma,WV,Tyler County,US,600
26321,STANDARD,Alum Bridge,WV,Lewis County,US,280
26323,PO BOX,Anmoore,WV,Harrison County,US,726
26325,STANDARD,Auburn,WV,Ritchie County,US,227
26327,STANDARD,Berea,WV,Ritchie County,US,39
